season,team,conference,offense.plays,offense.drives,offense.ppa,offense.totalPPA,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.stuffRate,offense.lineYards,offense.lineYardsTotal,offense.secondLevelYards,offense.secondLevelYardsTotal,offense.openFieldYards,offense.openFieldYardsTotal,offense.pointsPerOpportunity,offense.fieldPosition.averageStart,offense.fieldPosition.averagePredictedPoints,offense.havoc.total,offense.havoc.frontSeven,offense.havoc.db,offense.standardDowns.rate,offense.standardDowns.ppa,offense.standardDowns.successRate,offense.standardDowns.explosiveness,offense.passingDowns.rate,offense.passingDowns.ppa,offense.passingDowns.successRate,offense.passingDowns.explosiveness,offense.rushingPlays.rate,offense.rushingPlays.ppa,offense.rushingPlays.totalPPA,offense.rushingPlays.successRate,offense.rushingPlays.explosiveness,offense.passingPlays.rate,offense.passingPlays.ppa,offense.passingPlays.totalPPA,offense.passingPlays.successRate,offense.passingPlays.explosiveness,defense.plays,defense.drives,defense.ppa,defense.totalPPA,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.lineYards,defense.lineYardsTotal,defense.secondLevelYards,defense.secondLevelYardsTotal,defense.openFieldYards,defense.openFieldYardsTotal,defense.pointsPerOpportunity,defense.fieldPosition.averageStart,defense.fieldPosition.averagePredictedPoints,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,defense.standardDowns.rate,defense.standardDowns.ppa,defense.standardDowns.successRate,defense.standardDowns.explosiveness,defense.passingDowns.rate,defense.passingDowns.ppa,defense.passingDowns.totalPPA,defense.passingDowns.successRate,defense.passingDowns.explosiveness,defense.rushingPlays.rate,defense.rushingPlays.ppa,defense.rushingPlays.totalPPA,defense.rushingPlays.successRate,defense.rushingPlays.explosiveness,defense.passingPlays.rate,defense.passingPlays.ppa,defense.passingPlays.successRate,defense.passingPlays.explosiveness,CollinHavocRate,CollinHavocAllowedRate,SP,TAN
2021,Nebraska,Big Ten,370,58,0.31323276,115.896122,0.43513514,1.35484558,0.7826087,0.11792453,3.34858491,710,2.37362637,216,10.8,270,3.33333333,67.9,1.585,0.15135135,0.12162162,0.02972973,0.68918919,0.28081979,0.48627451,1.19830614,0.31081081,0.38510501,0.32173913,1.87946425,0.57297297,0.26127626,55.3905664,0.41509434,1.19284444,0.42702703,0.38294655,60.5055553,0.46202532,1.55013462,321,60,0.15956169,51.2193041,0.43302181,1.10265058,0.66666667,0.16352201,2.84025157,452,2.54716981,135,9.1875,147,2.5,71.1,-1.333,0.17133956,0.105919,0.06542056,0.68224299,0.03920023,0.47945205,0.84685232,0.31775701,0.41798484,49.66226,0.33333333,1.8926158,0.4953271,0.02398695,3.81392488,0.44025157,0.77385111,0.48598131,0.31834782,0.42948718,1.48404153,0.1666666667,0.125,8.2,81.5
2021,Nevada,Mountain West,193,31,0.32327793,62.3926403,0.48186528,1.27472012,0.85714286,0.13114754,3.05737705,187,1.95833333,47,14.4,72,3.38888889,71,1.337,0.14507772,0.07772021,0.06735751,0.70984456,0.31521449,0.54744526,1.13946612,0.29015544,0.34300455,0.32142857,1.83827844,0.31606218,0.19759954,12.0535722,0.47540984,0.95727082,0.66839378,0.41587236,53.6475349,0.48062016,1.46511913,195,32,0.24101171,46.9972825,0.5025641,0.97145442,0.94117647,0.05454545,3.81,419,2.78846154,145,9.26315789,176,3.92307692,73.3,-1.135,0.15384615,0.1025641,0.05128205,0.71794872,0.24301009,0.56428571,0.89923999,0.28205128,0.2359249,15.1959865,0.34545455,1.27171442,0.56410256,0.2925485,32.1803345,0.57272727,0.81586389,0.43076923,0.1809046,0.41666667,1.25151738,0.1494845361,0.08762886598,-0.4,79
2021,New Mexico,Mountain West,210,40,0.02098094,4.40599829,0.36666667,1.11920712,0.58823529,0.18867925,2.91415094,309,2.70454545,119,2.63636364,29,2.66666667,74,1.144,0.1547619,0.11666667,0.03809524,0.66666667,-0.0514544,0.44285714,0.9328585,0.33333333,0.16585155,0.21428571,1.88944806,0.5047619,-0.0373358,-3.9575976,0.4245283,0.79727099,0.4952381,0.08041919,8.36359588,0.30769231,1.57192981,193,42,0.1461931,28.2152679,0.33678756,1.53288583,0.66666667,0.26506024,2.52650602,210,1.93103448,56,11.5,92,3.5,69.6,-1.443,0.13989637,0.06735751,0.07253886,0.62176166,0.07423828,0.39166667,1.27015073,0.37823834,0.26447499,29.9693145,0.24657534,2.21891638,0.43005181,0.01055145,0.87577062,0.36144578,0.91178833,0.56476684,0.27494784,0.32110092,2.06525512,0.1947565543,0.1408450704,-14.2,60.5
2021,New Mexico State,FBS Independents,373,68,0.0674056,25.1422875,0.38337802,1.09438785,0.63636364,0.19178082,2.82671233,413,2.90196078,148,5.77777778,104,2.74074074,72.3,1.223,0.19302949,0.10723861,0.08579088,0.63270777,0.01232695,0.45338983,0.84014008,0.36729223,0.1622856,0.26277372,1.85006873,0.39142091,0.07007624,10.2311304,0.38356164,0.89803352,0.59785523,0.10345482,23.0704246,0.39013453,1.22077685,335,65,0.26712172,89.4857756,0.44776119,1.34176941,0.72727273,0.11235955,3.37752809,601,3.07594937,243,8.27272727,273,3.02702703,69.7,-1.429,0.16716418,0.11343284,0.05373134,0.71940299,0.19450997,0.49792531,1.13774879,0.28059701,0.45328589,70.5656613,0.31914894,2.1578519,0.53134328,0.16788837,29.8841303,0.48314607,0.9270923,0.45074627,0.46732226,0.42384106,1.89899179,#N/A,#N/A,-29.6,45.5
2021,North Carolina,ACC,272,48,0.38504623,104.732573,0.48529412,1.49931025,0.76470588,0.11363636,3.56439394,471,3.01639344,184,10.6071429,297,4.56,72,1.207,0.17647059,0.12867647,0.04779412,0.72058824,0.27575078,0.51530612,1.22525151,0.27941176,0.66691343,0.40789474,2.3922113,0.48529412,0.39135765,51.6592096,0.53030303,1.1898787,0.51102941,0.41863009,58.1895829,0.44604317,1.84866845,275,50,0.22363642,61.5000161,0.43636364,1.21102569,1,0.19047619,2.58979592,381,2.39215686,122,12.2666667,184,4.19230769,67.6,-1.47,0.14909091,0.10909091,0.04,0.68727273,0.19437844,0.51322751,1.05941933,0.31272727,0.28793595,45.7782718,0.26744186,1.85040904,0.53454545,0.10695064,15.7217443,0.42857143,0.94070146,0.46545455,0.35764275,0.4453125,1.50980512,0.1330935252,0.1413043478,14.8,86.5
2021,Northern Illinois,Mid-American,198,39,0.29897732,59.1975093,0.45959596,1.21772928,0.8125,0.06779661,3.53813559,418,3.2,144,14.3888889,259,5.125,73.4,1.127,0.14646465,0.08080808,0.06565657,0.68181818,0.27600029,0.54814815,1.02231309,0.31818182,0.34821381,0.26984127,2.06836447,0.5959596,0.28586575,33.7321591,0.46610169,1.03064634,0.37878788,0.4541863,34.0639728,0.46666667,1.5499592,191,36,0.41957086,80.1380333,0.52356021,1.27709318,0.84210526,0.104,3.6,450,3.03703704,164,10.5789474,201,5.44444444,66,-1.674,0.16753927,0.10994764,0.05759162,0.73298429,0.39951733,0.56428571,1.16694148,0.26701571,0.47461976,30.7159128,0.41176471,1.69147339,0.65445026,0.39537696,49.4221205,0.552,1.09924411,0.34554974,0.46539262,0.46969697,1.67295078,0.1161048689,0.0862745098,-10,63
2021,North Texas,Conference USA,329,54,0.07115156,23.4088647,0.36778116,1.13608912,0.76470588,0.11046512,3.31569767,570,2.95238095,186,7.33333333,198,2.48148148,71.1,1.339,0.10030395,0.05775076,0.04255319,0.65045593,-0.0555619,0.41121495,0.80922462,0.34954407,0.30694886,0.28695652,2.0077278,0.52279635,0.12363454,21.2651402,0.40116279,0.91925015,0.46504559,0.06129597,9.37828341,0.33986928,1.42381776,248,53,0.23311358,57.812167,0.37903226,1.61599,0.61111111,0.16551724,2.87172414,416,2.83673469,139,12.1,242,2.76923077,69.1,-1.467,0.16129032,0.13306452,0.02822581,0.71774194,0.04379111,0.3988764,1.14351858,0.28225806,0.71453356,48.362234,0.32857143,3.07448873,0.58467742,0.1122387,16.2746122,0.35862069,1.25241727,0.40322581,0.48362234,0.42,2.06612766,0.1654411765,0.09523809524,-13.8,60.5
2021,Northwestern,Big Ten,281,50,0.20511832,57.6382486,0.43060498,1.16510148,0.81481481,0.10126582,3.34303797,528,3.31746032,209,9.92857143,278,3.55555556,67.8,1.553,0.17437722,0.113879,0.06049822,0.68683274,0.19773394,0.50777202,0.94683609,0.31316726,0.22131361,0.26136364,2.0951018,0.56227758,0.27344209,43.2038498,0.49367089,0.97225054,0.42348754,0.18224833,21.6875515,0.35294118,1.5502757,276,51,0.20706494,57.1499242,0.40942029,1.29114963,0.6,0.16793893,3.26183206,427,3.09433962,164,13.95,279,3.75,73.3,-1.213,0.14130435,0.09057971,0.05072464,0.66666667,0.15500343,0.45652174,1.12144902,0.33333333,0.31118797,23.8450027,0.31521739,1.78269622,0.47463768,0.25714123,33.6855006,0.38167939,1.4096036,0.52173913,0.1655903,0.4375,1.19713855,0.1423487544,0.1263157895,-1.9,72.5
2021,Notre Dame,FBS Independents,278,58,0.14086468,39.1603811,0.37410072,1.39335166,0.6,0.30252101,2.12352941,253,2.37837838,88,10.3846154,135,3.52173913,68.6,1.528,0.22661871,0.1618705,0.0647482,0.64388489,0.08253807,0.41340782,1.22676717,0.35611511,0.24632391,0.3030303,1.80426008,0.42805755,-0.0446938,-5.3185617,0.32773109,0.86879779,0.57194245,0.27974178,44.4789428,0.40880503,1.70808399,284,59,0.00378458,1.07482005,0.34859155,1.03565615,0.47058824,0.24576271,2.63644068,311,2.76923077,108,14.6666667,220,3.14285714,71.5,-1.341,0.1971831,0.11619718,0.08098592,0.63732394,-0.2072087,0.38121547,0.56338628,0.36267606,0.37455919,-3.9001521,0.29126214,2.12187682,0.41549296,0.04216078,4.97497211,0.3220339,1.17951668,0.58450704,-0.0234949,0.36746988,0.94603811,0.1929824561,0.1678571429,13.4,87
2021,Ohio,Mid-American,162,34,0.11594574,18.7832102,0.41358025,1.00465531,0.5,0.13333333,3.87733333,291,3.37837838,125,7.57894737,144,3.18181818,72.8,1.28,0.16666667,0.11111111,0.05555556,0.66666667,0.09594162,0.49074074,0.86302321,0.33333333,0.15595398,0.25925926,1.54083396,0.46296296,0.28951424,21.7135683,0.45333333,1.04898503,0.5308642,-0.0107214,-0.9220379,0.37209302,1.05171047,230,33,0.31156035,71.6588794,0.48695652,1.13241662,0.73684211,0.09929078,3.67659574,518,3.25806452,202,8.88888889,240,4.19047619,71.1,-1.368,0.1173913,0.07391304,0.04347826,0.76521739,0.25387081,0.52272727,0.97674848,0.23478261,0.49958548,19.7805236,0.37037037,1.84849006,0.61304348,0.3679316,51.8783558,0.5106383,1.04790065,0.38695652,0.22225307,0.4494382,1.28454536,0.08474576271,0.09251101322,-14.2,61
